date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,9.38,2.21,-3.23,0.0,99.27,-63.09,94.76,13.14,-0.15,2.18,-5.9,0.35,0.36,0.38,0.4
1951-01-02,11.45,7.23,2.58,3.77,98.68,-19.67,26.83,5.98,0.05,3.39,4.36,0.36,0.36,0.38,0.4
1951-01-03,13.04,11.37,6.03,53.95,97.68,-6.23,11.0,1.98,1.03,3.61,11.14,0.42,0.41,0.38,0.4
1951-01-04,8.58,4.46,0.46,1.57,98.76,-71.45,97.24,9.01,1.92,1.03,0.64,0.4,0.42,0.41,0.4
1951-01-05,11.72,4.38,-1.7,0.0,99.31,-86.03,104.85,8.09,0.02,1.64,0.35,0.39,0.4,0.41,0.4
1951-01-06,10.13,5.63,2.17,1.79,98.94,-53.65,66.89,7.37,0.68,0.33,1.76,0.38,0.4,0.41,0.4
1951-01-07,1.69,-1.89,-6.2,11.41,98.75,-26.0,40.64,6.41,1.35,-2.36,-4.93,0.4,0.4,0.41,0.4
1951-01-08,-2.57,-7.06,-11.02,0.0,99.08,-92.43,95.97,6.97,2.03,0.18,-12.99,0.38,0.39,0.41,0.4
1951-01-09,5.59,-2.86,-11.86,0.0,99.23,-84.58,97.96,9.8,0.64,2.56,-8.16,0.38,0.39,0.4,0.4
1951-01-10,4.61,2.19,-0.32,9.93,98.79,-38.71,36.6,6.21,0.59,2.96,-0.78,0.4,0.39,0.4,0.4
1951-01-11,4.01,1.24,-2.63,2.24,99.0,-47.34,77.67,4.45,1.41,0.04,-1.1,0.42,0.42,0.41,0.4
1951-01-12,7.58,0.33,-3.82,0.0,99.43,-75.34,99.27,6.87,-1.34,0.46,-3.77,0.4,0.41,0.41,0.4
1951-01-13,6.39,2.25,-2.09,11.79,99.2,-15.69,17.88,1.62,-1.94,0.85,0.53,0.41,0.41,0.41,0.4
1951-01-14,11.66,8.81,2.41,27.91,97.53,-2.68,20.33,2.28,0.74,3.62,8.38,0.42,0.43,0.42,0.4
1951-01-15,3.92,1.28,-0.34,5.45,97.79,-28.96,46.92,3.79,3.0,0.19,0.06,0.41,0.42,0.43,0.41
1951-01-16,5.5,0.85,-2.35,0.04,99.16,-77.01,106.9,11.07,1.62,0.95,-4.67,0.4,0.4,0.43,0.41
1951-01-17,12.85,8.0,2.0,0.07,98.42,-74.49,104.26,23.66,2.17,3.5,0.36,0.39,0.39,0.42,0.41
1951-01-18,15.59,12.27,9.95,2.0,98.29,-23.25,41.78,6.56,1.67,2.82,10.27,0.39,0.39,0.42,0.41
