date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,4.94,-2.88,-10.16,0.0,98.59,-60.61,72.93,9.57,-0.02,2.45,-7.75,0.38,0.38,0.39,0.38
1951-01-02,7.66,3.92,0.25,6.16,98.11,-19.73,48.45,10.44,0.11,2.81,-0.3,0.4,0.39,0.39,0.38
1951-01-03,11.27,9.77,6.3,30.23,96.96,-2.3,9.71,1.53,0.82,4.07,9.73,0.43,0.43,0.4,0.38
1951-01-04,9.44,1.83,-0.77,6.86,97.76,-26.57,37.81,9.56,3.21,1.11,-1.51,0.41,0.42,0.42,0.38
1951-01-05,6.48,1.35,-2.39,0.0,98.66,-70.27,83.69,6.66,0.18,1.34,-2.66,0.4,0.41,0.42,0.39
1951-01-06,5.88,2.43,-0.63,1.03,98.24,-24.9,27.62,5.73,0.85,0.0,-0.37,0.39,0.4,0.42,0.39
1951-01-07,-0.97,-4.15,-7.65,7.8,97.85,-23.49,32.91,9.45,0.86,-3.08,-8.42,0.39,0.4,0.41,0.39
1951-01-08,-6.78,-9.42,-12.48,0.17,97.97,-73.79,65.75,7.69,2.65,0.01,-15.18,0.39,0.39,0.41,0.39
1951-01-09,0.74,-5.94,-11.83,0.0,98.38,-85.34,85.78,9.44,1.1,2.65,-11.15,0.38,0.39,0.41,0.39
1951-01-10,3.73,-0.71,-4.0,4.58,98.12,-48.24,49.46,5.89,0.78,2.39,-3.53,0.38,0.39,0.41,0.39
1951-01-11,0.27,-1.31,-6.0,4.75,98.02,-34.23,45.16,3.67,1.98,0.23,-2.74,0.39,0.39,0.41,0.39
1951-01-12,1.27,-5.29,-10.96,0.0,98.87,-77.75,69.15,5.42,0.8,-0.53,-8.13,0.39,0.39,0.41,0.39
1951-01-13,1.21,-4.3,-9.42,0.01,98.99,-47.38,47.81,5.89,-2.12,0.06,-8.14,0.38,0.39,0.4,0.39
1951-01-14,7.77,3.8,-0.1,33.78,96.98,2.24,6.9,1.31,-0.72,2.35,3.2,0.42,0.41,0.41,0.39
1951-01-15,5.49,-0.85,-2.24,6.23,96.49,-21.89,38.5,7.13,3.62,-0.56,-3.42,0.41,0.42,0.43,0.4
1951-01-16,-0.2,-2.56,-4.03,0.19,98.06,-57.88,73.59,8.14,2.37,0.6,-6.18,0.4,0.41,0.42,0.4
1951-01-17,8.95,3.32,-1.69,0.1,97.52,-72.56,89.08,15.11,1.87,2.76,-2.07,0.4,0.4,0.42,0.4
1951-01-18,12.92,7.97,4.5,0.66,97.44,-24.95,46.46,3.34,1.38,2.2,6.73,0.41,0.41,0.42,0.4
1951-01-19,12.8,10.25,9.08,0.28,97.65,-25.71,36.2,3.92,1.16,2.64,9.01,0.41,0.41,0.42,0.4
1951-01-20,16.54,12.04,5.48,2.2,97.25,-50.69,63.65,19.78,2.55,3.8,8.12,0.4,0.4,0.41,0.4
1951-01-21,3.61,-2.32,-3.89,0.28,98.65,-42.8,74.57,21.29,3.31,-1.52,-10.62,0.4,0.4,0.41,0.4
1951-01-22,0.55,-3.36,-7.67,0.0,99.19,-77.81,99.45,13.5,-0.87,0.79,-13.37,0.39,0.4,0.41,0.4
1951-01-23,3.4,0.36,-1.69,11.67,98.18,-31.68,34.06,13.35,-0.29,3.06,-6.36,0.39,0.39,0.41,0.4
1951-01-24,2.03,-1.34,-4.28,1.18,97.85,-26.51,49.55,8.96,2.76,0.68,-5.17,0.4,0.4,0.41,0.41
1951-01-25,-3.54,-5.68,-7.51,0.55,98.06,-46.9,53.43,8.07,2.38,-0.65,-11.17,0.39,0.4,0.41,0.41
1951-01-26,-2.75,-5.74,-8.11,0.44,98.15,-45.01,69.61,8.21,2.07,0.45,-11.44,0.39,0.39,0.41,0.41
1951-01-27,4.31,-0.64,-3.97,1.5,97.66,-24.5,29.27,6.57,0.91,0.72,-4.91,0.39,0.39,0.41,0.41
1951-01-28,-1.23,-3.01,-5.57,10.86,98.2,-7.58,7.71,1.4,-0.63,-1.51,-3.98,0.4,0.4,0.41,0.41
1951-01-29,-3.2,-7.01,-12.82,0.46,98.94,-26.23,58.27,4.49,1.25,-1.52,-10.05,0.4,0.4,0.41,0.41
1951-01-30,-8.35,-12.87,-16.38,0.06,99.48,-47.41,88.12,5.21,-0.43,-1.63,-17.89,0.39,0.4,0.41,0.41
1951-01-31,-1.32,-6.19,-11.12,30.56,98.26,0.76,15.44,1.3,-0.68,-1.1,-8.12,0.4,0.4,0.4,0.41
1951-02-01,-4.01,-8.35,-13.18,28.15,97.46,-12.17,14.57,2.44,1.76,-1.48,-10.57,0.41,0.4,0.41,0.41
1951-02-02,-14.41,-19.15,-22.18,0.11,99.27,-77.62,99.1,2.5,2.26,1.19,-23.47,0.4,0.4,0.41,0.41
1951-02-03,-8.2,-16.5,-24.15,0.0,99.25,-73.27,96.94,4.23,-0.14,1.81,-22.0,0.39,0.4,0.4,0.41
1951-02-04,-2.11,-8.24,-13.4,0.02,98.28,-54.43,75.17,5.77,0.7,1.72,-13.36,0.39,0.39,0.4,0.41
1951-02-05,1.85,-4.35,-9.14,0.03,98.65,-52.64,73.84,4.96,0.82,0.82,-7.15,0.38,0.39,0.4,0.41
1951-02-06,6.21,0.71,-5.1,4.59,98.03,-31.11,43.03,12.35,-1.15,2.99,-3.64,0.39,0.39,0.4,0.41
1951-02-07,3.81,-7.92,-17.25,9.46,97.58,-36.16,64.61,7.56,4.17,-0.99,-11.53,0.41,0.42,0.4,0.41
1951-02-08,-13.3,-16.82,-20.73,0.24,98.81,-65.66,102.7,3.23,2.55,-0.24,-21.13,0.4,0.41,0.4,0.41
1951-02-09,-7.16,-14.49,-22.84,0.0,99.41,-71.04,97.44,3.84,-0.22,-1.0,-18.73,0.4,0.4,0.4,0.41
1951-02-10,1.58,-8.04,-17.44,0.0,99.38,-72.7,105.08,6.37,-0.89,1.14,-12.06,0.39,0.4,0.4,0.41
1951-02-11,7.2,3.13,-1.03,0.12,98.34,-26.61,67.6,9.22,1.43,3.22,0.43,0.4,0.4,0.4,0.41
1951-02-12,7.21,5.88,4.58,0.75,97.89,-2.26,17.01,1.25,1.66,2.86,5.35,0.43,0.43,0.41,0.41
1951-02-13,9.05,4.75,-1.4,1.72,98.45,-2.61,17.26,1.19,0.82,0.42,4.3,0.42,0.43,0.43,0.41
1951-02-14,-1.57,-3.58,-6.38,0.86,99.73,-24.31,29.31,5.46,-0.53,-2.54,-6.69,0.41,0.41,0.43,0.41
1951-02-15,5.96,-0.95,-6.6,0.0,99.72,-55.67,100.58,11.34,-1.69,-0.94,-6.88,0.4,0.4,0.42,0.42
1951-02-16,7.56,2.8,-1.71,2.98,98.82,-25.69,45.02,3.31,-1.79,2.22,1.71,0.41,0.4,0.42,0.42
1951-02-17,4.89,2.98,1.18,4.3,98.49,-19.52,41.91,3.88,1.4,1.22,1.39,0.42,0.42,0.42,0.42
1951-02-18,13.4,5.54,-1.11,0.01,98.51,-44.01,120.84,11.37,-1.0,1.22,1.29,0.41,0.42,0.42,0.42
1951-02-19,15.75,9.71,5.45,6.21,97.93,-33.47,73.07,6.03,1.26,1.42,8.15,0.42,0.42,0.42,0.42
1951-02-20,10.08,5.49,0.82,18.08,97.79,-40.9,57.49,3.25,-1.85,-1.1,4.47,0.42,0.42,0.42,0.42
1951-02-21,10.21,5.06,2.01,13.42,97.06,-12.2,55.68,8.18,1.25,-2.71,3.23,0.42,0.42,0.43,0.42
1951-02-22,6.52,2.33,-0.76,0.02,98.76,-64.35,129.55,13.71,0.5,-2.09,-2.6,0.4,0.41,0.43,0.42
1951-02-23,6.32,0.99,-2.64,0.0,99.14,-78.8,137.64,10.93,0.24,-1.7,-3.61,0.39,0.4,0.42,0.42
1951-02-24,7.87,1.45,-3.29,0.0,98.97,-92.73,164.72,12.91,0.22,-1.13,-4.84,0.39,0.39,0.42,0.42
1951-02-25,13.06,5.17,-1.41,0.0,98.29,-69.36,141.93,14.73,-0.22,1.61,-2.0,0.38,0.39,0.41,0.42
1951-02-26,15.06,9.48,4.62,2.73,97.35,-37.63,56.05,7.3,1.53,2.18,6.11,0.38,0.38,0.41,0.42
1951-02-27,10.82,7.01,2.3,0.0,97.78,-104.44,170.64,28.75,3.62,-0.36,-0.72,0.38,0.38,0.41,0.42
1951-02-28,5.96,1.54,-2.67,0.51,98.22,-55.18,76.65,13.15,-1.09,0.06,-4.77,0.37,0.38,0.4,0.42
1951-03-01,13.19,8.4,3.69,7.58,97.82,-70.93,166.33,24.26,2.42,0.83,1.45,0.4,0.39,0.4,0.42
1951-03-02,9.79,4.32,-0.71,2.05,98.52,-67.62,134.29,16.18,-0.44,-0.45,-3.18,0.39,0.39,0.4,0.42
1951-03-03,14.82,11.34,4.48,17.45,97.21,-7.36,24.56,3.46,0.2,2.71,10.33,0.41,0.4,0.4,0.42
1951-03-04,10.44,5.08,0.98,0.18,98.04,-80.27,131.92,20.63,1.73,-0.63,-3.28,0.41,0.41,0.4,0.42
1951-03-05,13.04,5.17,-1.46,0.0,98.58,-98.19,180.81,18.92,-1.27,0.06,-2.51,0.39,0.4,0.4,0.42
1951-03-06,18.28,11.0,3.78,0.11,98.09,-54.63,112.39,13.02,0.15,2.78,7.37,0.39,0.4,0.4,0.42
1951-03-07,14.22,10.16,3.48,8.71,97.58,-56.42,148.01,21.57,0.53,-1.11,3.57,0.41,0.41,0.4,0.42
1951-03-08,10.2,5.04,1.09,0.0,97.97,-76.94,156.79,23.01,0.97,-1.63,-5.02,0.39,0.4,0.39,0.42
1951-03-09,2.35,-0.75,-3.16,0.0,99.12,-91.01,177.68,21.88,1.19,-2.38,-9.4,0.39,0.39,0.39,0.42
1951-03-10,4.3,-1.19,-4.81,0.0,99.6,-92.02,186.61,19.81,-1.38,-1.96,-10.99,0.38,0.39,0.39,0.42
1951-03-11,6.91,0.17,-3.47,0.0,99.0,-87.13,192.26,22.94,-1.47,-1.92,-10.46,0.37,0.38,0.39,0.42
1951-03-12,11.24,3.59,-2.38,0.15,97.89,-64.71,175.95,19.12,-2.31,-0.35,-3.62,0.37,0.38,0.39,0.42
1951-03-13,3.67,2.07,0.74,27.38,96.82,-6.62,25.48,1.42,-2.66,0.51,1.87,0.42,0.4,0.38,0.42
1951-03-14,2.32,0.3,-1.56,4.77,96.45,-15.63,76.81,8.41,2.26,1.5,-1.99,0.41,0.41,0.39,0.42
1951-03-15,3.59,0.96,-0.68,4.73,96.72,-14.44,55.38,5.79,2.72,0.15,-0.67,0.41,0.41,0.39,0.42
1951-03-16,2.46,-0.45,-2.48,0.49,97.46,-30.56,74.08,10.3,2.72,-0.07,-4.11,0.4,0.41,0.39,0.42
1951-03-17,5.95,1.37,-3.64,0.07,98.1,-56.81,154.03,12.87,-0.22,-0.41,-2.61,0.4,0.4,0.39,0.42
1951-03-18,6.77,3.87,0.73,3.15,97.97,-6.0,42.75,5.8,-2.11,0.38,1.59,0.41,0.41,0.39,0.41
