date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,9.39,1.83,-3.28,0.0,97.55,-71.4,104.87,11.92,-0.18,1.98,-4.83,0.38,0.39,0.4,0.4
1951-01-02,10.67,6.62,1.97,2.73,97.1,-20.27,32.92,9.38,-0.16,3.09,1.92,0.38,0.38,0.4,0.4
1951-01-03,15.82,12.3,8.58,11.81,96.16,-30.49,65.88,18.77,0.18,4.83,9.08,0.4,0.39,0.4,0.4
1951-01-04,8.49,5.63,2.19,0.85,96.99,-68.84,94.31,12.91,2.19,1.23,0.76,0.41,0.41,0.4,0.4
1951-01-05,12.11,5.09,-0.47,0.0,97.58,-90.86,114.25,12.57,0.02,1.86,-1.42,0.39,0.41,0.4,0.4
1951-01-06,13.3,7.49,3.23,0.0,97.16,-74.89,95.76,10.54,0.36,1.88,3.05,0.39,0.4,0.4,0.4
1951-01-07,6.34,0.66,-4.11,7.96,96.64,-20.78,40.58,9.74,1.6,-1.79,-3.25,0.41,0.4,0.4,0.4
1951-01-08,-1.76,-4.92,-7.9,0.07,97.16,-86.71,115.69,13.05,2.27,-0.36,-12.86,0.4,0.41,0.4,0.4
1951-01-09,6.29,-1.69,-7.26,0.0,97.52,-95.93,117.81,13.82,0.4,2.21,-9.61,0.39,0.4,0.4,0.4
1951-01-10,6.37,1.65,-1.56,2.69,97.17,-60.23,68.89,13.24,0.44,3.07,-4.97,0.39,0.4,0.4,0.4
1951-01-11,4.25,2.07,-1.89,2.23,97.13,-40.07,64.14,5.67,1.48,0.61,-0.21,0.41,0.4,0.4,0.4
1951-01-12,7.53,0.62,-3.75,0.0,97.61,-69.1,94.47,8.37,-0.68,0.74,-3.42,0.4,0.4,0.4,0.4
1951-01-13,4.24,1.91,-2.36,15.48,97.49,-19.95,18.78,0.8,-1.32,1.47,0.56,0.41,0.41,0.4,0.4
1951-01-14,11.97,8.01,4.08,32.41,96.05,-5.1,35.58,5.9,0.12,4.35,7.14,0.43,0.44,0.42,0.4
1951-01-15,8.27,2.05,-0.24,6.2,95.94,-29.36,57.2,4.96,3.34,0.48,0.58,0.43,0.43,0.43,0.4
1951-01-16,4.82,0.49,-2.4,0.66,97.35,-74.8,121.82,14.82,1.75,0.21,-6.17,0.41,0.42,0.43,0.4
1951-01-17,12.7,6.35,0.24,0.0,96.88,-83.21,116.56,25.64,1.42,3.45,-2.05,0.4,0.41,0.43,0.4
1951-01-18,15.6,11.34,8.36,0.25,96.72,-27.62,70.17,13.83,1.41,3.1,7.99,0.4,0.4,0.43,0.4
1951-01-19,17.59,12.81,9.85,0.3,96.83,-49.14,75.85,14.35,0.71,3.18,9.61,0.4,0.4,0.42,0.41
1951-01-20,18.06,14.39,12.14,3.87,96.69,-47.75,74.49,23.58,2.29,4.06,10.33,0.39,0.39,0.42,0.41
1951-01-21,9.18,0.48,-2.78,1.1,97.75,-84.27,116.06,19.94,1.86,-1.81,-7.73,0.41,0.4,0.42,0.41
1951-01-22,6.91,-0.12,-4.86,0.0,97.89,-99.28,135.6,16.57,-0.92,0.77,-9.79,0.39,0.39,0.42,0.41
1951-01-23,8.27,3.44,-0.77,5.25,97.11,-44.6,55.29,11.99,-0.08,3.07,-1.96,0.39,0.39,0.42,0.41
1951-01-24,5.7,2.68,-0.63,1.58,96.97,-51.69,102.44,13.53,2.29,0.17,-2.28,0.41,0.4,0.42,0.41
1951-01-25,-0.8,-2.69,-4.07,0.25,97.04,-58.49,86.16,11.58,2.13,-1.06,-10.1,0.39,0.4,0.41,0.41
1951-01-26,2.51,-2.63,-6.92,0.0,97.24,-80.77,136.69,16.05,1.29,0.83,-11.62,0.38,0.39,0.41,0.41
1951-01-27,6.58,3.46,-0.89,2.07,96.85,-30.38,20.57,11.96,1.48,3.12,-1.25,0.38,0.39,0.41,0.41
1951-01-28,11.88,9.39,5.44,10.52,97.13,-15.5,41.26,2.54,1.53,2.74,8.92,0.42,0.4,0.41,0.41
1951-01-29,4.05,0.24,-1.3,14.71,97.69,-7.98,14.7,2.85,0.56,-1.63,-1.13,0.43,0.43,0.42,0.41
1951-01-30,-1.55,-2.83,-3.73,1.66,97.86,-10.02,32.8,11.65,-1.0,-1.85,-9.58,0.41,0.42,0.42,0.41
1951-01-31,7.75,1.43,-2.87,29.47,96.84,-0.86,18.91,1.73,-0.29,0.64,0.66,0.43,0.43,0.43,0.41
1951-02-01,2.4,-5.57,-14.84,34.55,96.6,-23.36,34.94,3.67,2.25,-0.71,-7.67,0.42,0.43,0.45,0.42
1951-02-02,-10.45,-16.04,-21.02,0.1,98.33,-88.3,137.79,4.9,1.1,0.06,-22.36,0.4,0.4,0.44,0.42
1951-02-03,-0.17,-11.84,-23.54,0.0,98.01,-76.72,133.17,9.9,-0.49,0.98,-21.26,0.39,0.39,0.43,0.43
1951-02-04,3.26,-2.81,-7.77,0.22,97.24,-61.33,114.62,13.47,0.9,2.06,-11.57,0.38,0.39,0.43,0.43
1951-02-05,6.68,-0.78,-6.61,0.0,97.54,-88.35,138.82,10.26,-0.01,1.1,-6.4,0.38,0.38,0.43,0.43
1951-02-06,8.47,3.88,-2.13,2.95,96.91,-36.41,66.08,14.89,-1.09,3.2,-1.88,0.39,0.38,0.42,0.43
1951-02-07,4.99,-5.47,-12.67,13.32,96.93,-47.58,116.0,11.11,3.28,-1.5,-11.22,0.42,0.43,0.42,0.43
1951-02-08,-4.15,-9.19,-13.9,0.51,97.84,-66.43,127.08,11.13,1.74,-0.17,-19.22,0.4,0.42,0.42,0.43
1951-02-09,1.18,-3.37,-6.21,1.4,97.92,-33.84,66.83,7.03,-0.78,-0.36,-8.99,0.4,0.41,0.42,0.43
1951-02-10,6.72,-0.38,-5.75,0.01,98.15,-58.8,121.5,9.35,-0.42,1.24,-5.17,0.4,0.4,0.42,0.43
1951-02-11,11.6,4.03,-0.8,0.01,97.62,-68.82,144.7,14.71,0.86,2.71,-0.68,0.4,0.4,0.42,0.43
1951-02-12,14.99,8.05,2.78,0.1,97.18,-48.52,124.27,10.96,0.96,2.89,5.27,0.41,0.4,0.41,0.43
1951-02-13,17.0,10.92,7.38,0.24,97.56,-42.28,85.75,7.72,1.01,2.37,8.58,0.4,0.4,0.41,0.43
1951-02-14,8.39,5.32,1.23,0.09,98.23,-24.23,59.09,3.3,-0.39,-0.74,4.31,0.39,0.4,0.41,0.43
1951-02-15,14.36,6.25,0.68,0.02,98.13,-38.47,97.69,6.68,-1.45,-0.49,3.77,0.38,0.39,0.41,0.43
1951-02-16,9.39,6.8,4.59,10.25,97.55,-19.78,32.11,5.17,-1.32,2.84,5.35,0.4,0.4,0.41,0.43
1951-02-17,13.65,7.96,3.52,1.17,97.48,-72.16,157.62,16.66,1.29,1.45,2.71,0.41,0.41,0.4,0.43
1951-02-18,15.06,8.61,3.4,1.34,97.38,-37.49,58.52,6.78,-0.49,2.12,5.3,0.4,0.41,0.4,0.43
1951-02-19,17.91,13.59,11.19,10.78,97.08,-34.43,87.51,7.18,1.35,2.36,12.03,0.42,0.42,0.4,0.42
1951-02-20,18.17,14.05,11.04,24.01,96.38,-25.24,66.56,8.1,-0.37,2.92,12.44,0.42,0.43,0.41,0.42
1951-02-21,13.41,7.4,3.83,10.68,96.23,-29.39,61.85,11.78,2.59,-0.99,4.44,0.42,0.43,0.43,0.42
1951-02-22,10.61,5.05,2.06,0.03,97.53,-74.25,164.38,18.24,-0.49,-1.95,-1.03,0.41,0.42,0.43,0.43
1951-02-23,11.95,4.44,-0.98,0.0,97.81,-100.47,181.75,18.89,-1.42,-1.41,-2.0,0.39,0.41,0.42,0.43
