date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,-5.75,-13.07,-18.24,0.3,94.41,-58.81,19.62,0.09,5.55,-1.88,-15.72,0.32,0.27,0.24,0.3
1951-01-02,-11.0,-16.26,-20.98,0.0,94.44,-45.34,19.15,-0.07,1.03,1.56,-18.58,0.32,0.27,0.24,0.3
1951-01-03,-11.23,-14.94,-18.65,0.27,93.86,-20.19,13.71,0.06,-2.47,1.96,-17.01,0.32,0.27,0.24,0.3
1951-01-04,-9.3,-13.88,-17.44,0.88,94.93,-29.2,18.52,0.09,3.63,-2.09,-16.13,0.32,0.27,0.24,0.3
1951-01-05,-17.5,-20.54,-25.61,2.59,95.89,-39.21,18.97,0.04,0.14,-3.72,-23.3,0.32,0.27,0.24,0.3
1951-01-06,-17.57,-23.12,-27.09,0.02,96.27,-45.49,19.4,-0.05,4.36,0.35,-25.74,0.31,0.27,0.24,0.3
1951-01-07,-13.59,-15.47,-18.6,0.05,95.78,-58.42,20.29,-0.05,4.98,-2.1,-18.24,0.31,0.27,0.24,0.3
1951-01-08,-4.26,-10.66,-18.89,0.0,94.59,-56.19,22.02,0.11,5.42,2.96,-14.18,0.31,0.27,0.24,0.3
1951-01-09,-4.08,-5.66,-8.45,0.0,94.39,-60.3,17.49,0.1,5.95,-1.79,-8.65,0.31,0.27,0.24,0.3
1951-01-10,-7.36,-9.51,-11.34,0.0,95.05,-71.97,24.32,-0.04,5.43,-0.68,-12.53,0.31,0.27,0.24,0.3
1951-01-11,-6.85,-10.56,-12.83,0.0,94.93,-56.34,25.13,-0.09,-0.95,1.85,-13.23,0.31,0.27,0.24,0.3
1951-01-12,-5.61,-8.23,-10.77,0.26,94.98,-30.31,20.45,0.05,-3.39,2.64,-10.42,0.31,0.27,0.25,0.3
1951-01-13,-4.73,-6.24,-7.99,0.1,94.96,-43.53,21.64,-0.08,3.98,1.25,-7.46,0.31,0.27,0.25,0.3
1951-01-14,-1.41,-6.63,-11.28,0.84,94.28,-37.04,18.75,0.07,5.21,0.14,-8.42,0.31,0.27,0.25,0.3
1951-01-15,-5.07,-9.46,-11.73,0.14,94.75,-58.73,27.6,0.07,4.84,-2.24,-11.64,0.31,0.27,0.25,0.3
1951-01-16,1.58,-1.2,-6.55,0.0,93.51,-65.46,26.48,0.82,5.37,3.32,-5.15,0.31,0.27,0.25,0.3
1951-01-17,0.29,-3.62,-9.35,0.0,93.39,-66.79,29.18,0.57,3.54,4.25,-7.97,0.3,0.27,0.25,0.3
1951-01-18,-1.26,-5.14,-11.92,0.77,93.79,-26.46,18.68,0.26,0.49,-2.72,-7.44,0.3,0.27,0.25,0.3
1951-01-19,-12.46,-15.25,-18.69,3.03,94.61,-9.85,19.52,0.22,-0.96,-6.28,-17.33,0.3,0.27,0.25,0.3
1951-01-20,-19.34,-22.31,-25.21,0.06,96.08,-41.98,26.11,0.09,2.33,-6.31,-25.45,0.3,0.27,0.25,0.3
1951-01-21,-9.27,-19.99,-28.54,0.05,95.91,-43.28,29.59,0.02,-1.38,3.84,-22.92,0.3,0.27,0.25,0.3
1951-01-22,0.21,-4.44,-8.6,0.85,93.83,-56.21,26.83,0.39,4.73,2.7,-8.02,0.3,0.27,0.25,0.3
1951-01-23,-5.52,-14.58,-16.74,0.5,94.62,-48.31,25.79,0.32,10.0,-5.27,-17.78,0.3,0.27,0.25,0.3
1951-01-24,-15.37,-17.45,-20.4,0.04,95.71,-58.91,30.3,0.05,5.05,-4.64,-20.34,0.3,0.27,0.25,0.3
1951-01-25,-16.99,-20.38,-23.25,0.03,95.76,-36.4,29.35,0.06,-0.53,-2.57,-23.02,0.3,0.27,0.25,0.3
1951-01-26,-18.99,-20.6,-21.83,7.03,95.14,0.42,9.62,0.13,-3.65,-4.41,-23.31,0.3,0.27,0.25,0.3
1951-01-27,-22.16,-25.44,-28.12,0.25,95.83,-41.26,23.05,0.04,5.48,-5.49,-28.83,0.3,0.27,0.25,0.3
1951-01-28,-28.17,-30.68,-32.62,0.11,96.52,-59.93,27.09,0.01,7.32,-3.75,-34.57,0.3,0.27,0.25,0.3
1951-01-29,-28.16,-31.43,-34.82,0.0,96.62,-66.92,28.73,-0.02,6.05,0.07,-35.07,0.3,0.27,0.25,0.3
1951-01-30,-21.18,-24.94,-28.55,0.0,96.13,-57.15,28.29,-0.03,5.58,0.79,-28.33,0.3,0.27,0.25,0.3
1951-01-31,-23.59,-25.55,-27.61,0.02,96.14,-65.88,30.03,-0.01,6.35,-4.15,-28.84,0.3,0.27,0.25,0.3
