date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,-10.0,-14.4,-18.42,0.89,71.53,-62.7,67.5,2.3,0.91,0.62,-17.52,0.28,0.28,0.28,0.35
1951-01-02,-11.49,-14.87,-17.96,0.67,71.66,-68.05,72.74,3.1,2.32,1.75,-18.7,0.28,0.28,0.28,0.35
1951-01-03,-8.45,-9.93,-12.63,3.17,71.48,-51.08,57.53,4.48,4.56,1.43,-13.04,0.28,0.28,0.28,0.35
1951-01-04,-5.13,-7.65,-10.61,5.1,72.12,-42.77,53.84,5.93,3.25,2.44,-11.35,0.28,0.28,0.28,0.35
1951-01-05,-7.44,-11.97,-18.15,3.08,72.5,-51.4,49.47,3.11,2.98,0.4,-14.97,0.28,0.28,0.28,0.35
1951-01-06,-12.34,-17.16,-20.14,0.13,73.18,-80.39,75.54,2.34,1.53,1.21,-21.14,0.28,0.28,0.28,0.35
1951-01-07,-9.18,-16.26,-21.92,0.0,73.35,-84.94,78.74,3.78,0.08,1.79,-21.89,0.28,0.28,0.28,0.35
1951-01-08,-4.32,-11.58,-16.08,0.0,72.6,-88.62,73.79,6.37,0.76,2.19,-20.32,0.28,0.28,0.28,0.35
1951-01-09,-10.31,-13.53,-17.99,1.87,72.2,-50.62,57.22,1.51,1.4,1.06,-18.17,0.28,0.28,0.28,0.35
1951-01-10,-7.37,-13.62,-16.95,0.04,72.41,-86.86,79.99,3.71,0.44,1.91,-18.05,0.28,0.28,0.28,0.35
1951-01-11,-7.58,-12.79,-16.31,0.16,71.67,-57.66,73.26,2.74,0.92,1.48,-16.86,0.28,0.28,0.28,0.35
1951-01-12,-9.1,-14.81,-19.18,0.03,72.0,-75.13,76.36,2.6,0.64,0.99,-18.2,0.28,0.28,0.28,0.35
1951-01-13,-12.19,-17.27,-22.44,0.1,72.51,-66.75,73.96,1.46,1.33,1.31,-20.07,0.28,0.28,0.28,0.35
