date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,total_precipitation_sum,surface_pressure_mean,surface_net_thermal_radiation_mean,surface_net_solar_radiation_mean,potential_evaporation_sum_ERA5_LAND,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,dewpoint_temperature_2m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean
1951-01-01,-0.22,-5.29,-8.49,0.08,89.45,-88.74,75.32,1.68,1.21,0.8,-14.09,0.23,0.23,0.22,0.23
1951-01-02,0.68,-3.87,-6.74,0.07,89.23,-86.38,70.19,1.9,2.21,0.76,-13.13,0.23,0.23,0.22,0.23
1951-01-03,6.05,-0.05,-3.71,1.11,88.5,-64.26,54.58,2.15,2.75,-0.02,-7.8,0.23,0.23,0.22,0.23
1951-01-04,0.28,-4.83,-8.67,0.38,89.78,-63.59,54.21,1.36,-1.37,-0.66,-11.03,0.24,0.23,0.22,0.23
1951-01-05,-3.47,-8.45,-12.34,0.12,90.55,-77.13,74.16,1.15,-0.24,-0.67,-14.65,0.24,0.23,0.22,0.23
1951-01-06,-1.14,-6.36,-11.07,0.01,91.2,-94.33,79.24,1.9,3.27,-0.72,-16.09,0.24,0.23,0.22,0.23
1951-01-07,2.01,-3.26,-6.14,0.0,91.0,-92.64,78.85,2.51,3.55,-0.14,-14.5,0.24,0.23,0.22,0.23
1951-01-08,7.99,0.78,-3.37,0.0,89.8,-84.17,78.38,3.23,3.73,1.37,-15.81,0.24,0.23,0.22,0.23
1951-01-09,3.2,-1.31,-5.58,0.2,89.84,-65.03,60.23,1.76,2.34,-1.77,-11.46,0.24,0.23,0.22,0.23
1951-01-10,3.38,-3.19,-6.66,0.0,90.17,-95.36,80.99,1.74,2.68,1.68,-11.99,0.24,0.23,0.22,0.23
1951-01-11,2.87,-3.25,-8.13,0.0,89.32,-63.66,55.79,1.28,-0.49,1.3,-11.66,0.24,0.23,0.22,0.23
1951-01-12,2.18,-2.94,-6.83,0.0,89.64,-79.52,79.17,1.59,2.58,-0.27,-9.67,0.24,0.23,0.22,0.23
1951-01-13,3.7,-2.47,-6.14,0.0,90.21,-91.98,84.06,2.06,3.81,0.67,-11.09,0.24,0.23,0.22,0.23
1951-01-14,7.52,0.79,-4.83,0.16,89.8,-78.92,66.5,3.63,5.73,-0.84,-9.38,0.24,0.23,0.22,0.23
1951-01-15,7.62,1.66,-4.06,0.0,89.93,-84.66,84.75,2.68,2.69,2.19,-8.21,0.24,0.23,0.22,0.23
1951-01-16,9.38,3.79,-3.43,0.01,88.89,-89.3,82.02,4.97,2.96,1.07,-9.18,0.24,0.23,0.22,0.23
1951-01-17,9.15,3.61,-2.94,0.0,88.57,-92.06,78.42,5.22,6.34,2.56,-8.89,0.24,0.23,0.22,0.23
1951-01-18,9.57,4.45,-0.17,0.08,88.78,-86.07,85.32,3.9,3.2,0.25,-5.23,0.24,0.23,0.22,0.23
1951-01-19,-0.84,-6.05,-10.59,2.21,89.48,-37.28,33.38,1.15,-1.01,-2.71,-9.97,0.23,0.23,0.22,0.23
1951-01-20,-2.01,-8.6,-12.68,1.36,90.93,-67.4,70.23,1.34,0.97,-0.46,-14.95,0.23,0.23,0.22,0.23
1951-01-21,5.77,-2.02,-10.09,0.07,90.15,-76.2,74.37,3.11,3.52,3.65,-13.26,0.23,0.23,0.22,0.23
1951-01-22,5.06,2.13,-2.44,0.58,89.36,-59.15,48.05,3.23,5.32,-0.23,-7.07,0.24,0.23,0.22,0.23
1951-01-23,2.13,-2.44,-5.76,0.0,90.23,-100.25,90.72,2.94,4.18,-1.7,-12.43,0.24,0.23,0.22,0.23
1951-01-24,1.51,-3.28,-6.89,0.01,90.76,-75.68,81.82,1.61,1.45,-0.1,-10.83,0.24,0.23,0.22,0.23
1951-01-25,5.73,-0.35,-5.17,0.05,90.12,-54.61,66.84,1.62,-0.2,0.3,-7.83,0.24,0.23,0.22,0.23
1951-01-26,-2.49,-8.31,-16.23,0.73,89.56,-55.93,62.95,1.35,-1.48,-2.23,-13.31,0.25,0.23,0.22,0.23
1951-01-27,-17.96,-20.14,-21.74,1.28,90.75,-29.42,49.93,1.19,-0.99,-4.18,-28.06,0.25,0.23,0.22,0.23
1951-01-28,-18.87,-21.8,-23.85,0.46,91.3,-70.19,78.21,0.85,0.73,-2.39,-30.55,0.24,0.23,0.22,0.23
1951-01-29,-12.96,-18.77,-23.91,0.01,91.32,-93.16,92.1,1.14,2.88,0.61,-29.66,0.24,0.23,0.22,0.23
1951-01-30,-11.09,-15.39,-18.66,0.02,90.9,-75.86,79.91,1.12,1.03,-0.67,-25.68,0.24,0.23,0.22,0.23
1951-01-31,-15.86,-17.96,-21.08,0.28,91.13,-75.93,83.9,1.04,1.82,-3.38,-25.76,0.24,0.23,0.22,0.23
1951-02-01,-4.95,-14.03,-21.75,0.0,90.57,-99.0,101.04,1.78,4.4,0.8,-26.19,0.24,0.23,0.22,0.23
1951-02-02,3.5,-4.02,-12.24,0.0,89.95,-81.22,85.94,3.37,6.16,1.25,-15.49,0.24,0.23,0.22,0.23
1951-02-03,6.83,1.89,-3.46,0.16,89.77,-75.13,88.65,4.14,5.74,-1.19,-8.34,0.25,0.23,0.22,0.23
1951-02-04,4.34,-1.11,-4.28,0.45,90.0,-72.58,67.18,1.36,2.06,2.12,-8.56,0.25,0.23,0.22,0.23
1951-02-05,6.32,0.35,-3.34,0.99,89.12,-54.09,63.49,1.19,0.79,0.61,-4.34,0.26,0.23,0.22,0.23
1951-02-06,-3.47,-8.34,-13.23,0.95,90.56,-68.51,89.87,1.69,0.1,-3.5,-15.39,0.26,0.23,0.22,0.23
1951-02-07,-0.48,-8.02,-15.15,0.11,90.58,-54.57,76.56,1.63,-1.19,1.46,-16.14,0.26,0.23,0.22,0.23
1951-02-08,1.25,-4.0,-7.11,0.11,90.26,-67.22,94.5,1.57,0.16,-0.92,-9.67,0.27,0.23,0.22,0.23
1951-02-09,13.85,4.66,-5.03,0.0,90.07,-57.49,85.63,2.79,4.26,1.52,-3.79,0.28,0.23,0.22,0.23
1951-02-10,18.45,10.39,4.15,0.01,89.71,-77.93,116.1,5.24,5.42,2.19,-1.64,0.28,0.24,0.22,0.23
1951-02-11,10.11,5.7,-4.52,0.0,89.29,-79.71,99.82,4.62,1.76,-0.22,-4.07,0.27,0.24,0.22,0.23
1951-02-12,-6.05,-9.38,-11.42,0.56,90.49,-50.33,87.18,2.34,-2.42,-3.45,-17.77,0.27,0.24,0.22,0.23
1951-02-13,-1.61,-7.93,-13.33,0.02,91.68,-106.2,130.38,2.62,1.14,0.62,-24.24,0.26,0.24,0.22,0.23
1951-02-14,9.89,-0.5,-7.3,0.0,91.14,-112.23,132.35,4.73,1.9,4.07,-24.92,0.26,0.24,0.22,0.23
1951-02-15,10.06,1.0,-5.28,0.0,90.25,-100.55,126.73,4.55,0.7,4.05,-22.14,0.26,0.24,0.22,0.23
1951-02-16,12.91,3.24,-2.99,0.0,89.59,-106.26,136.68,4.78,3.16,0.23,-14.75,0.26,0.24,0.22,0.23
1951-02-17,7.92,0.84,-4.5,0.0,89.62,-93.61,133.8,2.66,2.1,0.61,-7.77,0.25,0.24,0.22,0.23
1951-02-18,10.91,2.9,-2.5,0.0,89.32,-88.9,132.56,2.89,1.41,0.97,-7.38,0.25,0.24,0.22,0.23
1951-02-19,3.75,0.14,-2.93,0.87,90.2,-52.96,86.97,1.93,-0.03,-2.59,-5.75,0.25,0.24,0.22,0.23
1951-02-20,9.49,1.44,-3.66,0.0,90.29,-95.3,139.83,2.96,1.81,1.73,-8.48,0.25,0.24,0.22,0.23
1951-02-21,12.75,2.89,-3.98,0.0,89.88,-90.73,140.93,2.75,-0.06,2.29,-7.53,0.25,0.24,0.22,0.23
1951-02-22,-2.87,-4.22,-6.2,1.16,90.58,-20.52,39.4,1.23,-1.64,-4.35,-6.9,0.25,0.24,0.22,0.23
1951-02-23,9.16,1.5,-3.7,0.24,90.06,-56.72,116.81,2.16,-0.31,2.88,-2.87,0.25,0.24,0.22,0.23
1951-02-24,10.7,4.31,0.61,0.07,89.43,-61.35,89.02,3.24,3.3,2.1,-5.7,0.25,0.24,0.22,0.23
1951-02-25,9.06,2.58,-2.04,0.0,89.24,-106.2,150.17,4.9,3.65,1.17,-13.03,0.25,0.24,0.22,0.23
1951-02-26,8.63,1.51,-4.24,0.1,89.68,-97.74,150.23,2.67,0.33,0.49,-8.59,0.25,0.24,0.22,0.23
1951-02-27,0.57,-3.02,-5.39,6.2,89.51,-41.08,65.9,1.63,-2.58,-2.9,-6.47,0.25,0.24,0.22,0.23
1951-02-28,-0.14,-5.13,-9.23,0.07,89.5,-84.28,120.58,2.74,3.04,-3.08,-12.12,0.25,0.24,0.22,0.23
